,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
4339,3.21,15.52734375,12.59765625,8.740234375,1.66015625,36103158323,5.0,120806,122609,2301,89.0,11.0,6602,38.5,2.0751287488639805
4340,2.43,38.25710754017305,32.88009888751545,25.15451174289246,1.236093943139679,36103158409,3.8,62939,78336,1682,96.2,3.8,3989,45.9,6.517924291802457
4341,1.6,61.88042922841085,58.712314767501276,53.29586101175269,0.0,36103158410,0.0,42168,60060,2259,86.6,13.4,3161,72.7,2.3093957608351787
4342,3.59,13.166144200626958,10.449320794148381,3.970741901776385,0.0,36103159411,6.1,97863,111232,979,97.8,2.2,3451,36.7,2.723848159953637
4343,2.63,40.4418828049952,33.30131284021774,18.219660582772974,2.2734550112071727,36103159412,5.4,78407,106471,3286,95.0,5.0,8277,43.6,3.8782167451975353
4344,2.68,34.501347708894876,24.34860736747529,6.199460916442049,0.0,36103159509,7.0,62135,65212,1356,82.1,17.9,2980,35.4,3.5906040268456376
4345,3.39,39.215686274509814,37.25490196078432,23.529411764705877,3.92156862745098,36103159510,12.8,-666666666,95204,2059,2.5,97.5,173,41.5,14.450867052023122
4346,3.78,17.90674603174603,14.632936507936508,7.291666666666668,0.744047619047619,36103159511,8.4,77500,85117,2312,87.2,12.8,7615,34.0,11.634931057124097
4347,3.65,19.20634920634921,17.460317460317462,6.0317460317460325,5.873015873015873,36103159512,5.6,71316,90470,740,85.1,14.9,2319,40.8,1.9404915912031047
4348,2.49,30.593607305936068,23.28767123287671,18.417047184170467,0.0,36103169703,3.8,95662,138174,1238,53.1,46.9,1654,56.5,3.7484885126964933
4349,1.93,55.84269662921349,48.932584269662925,28.932584269662925,0.0,36103169704,6.7,46558,69795,3869,92.0,8.0,7039,55.9,2.997584884216508
4350,2.41,34.759152215799624,27.47591522157996,20.26974951830443,0.92485549132948,36103169901,2.9,57958,86056,2869,90.4,9.6,6388,50.8,5.212899185973701
